"[Quote] Number","[Quote] Has Lead?","[Quote] Job Number"
"Q25002","No",""
"Q25002/1","No","C575"
"Q25004","No","C563"
"Q25005","Yes","C587"
"Q25006","No","C556"
"Q25008","Yes",""
"Q25009","No","C558"
"Q25010","No","C559"
"Q25011","No",""
"Q25012","No","C568"
"Q25013","No",""
"Q25014","No","C560"
"Q25015","No","C564"
"Q25016","No","C562"
"Q25017","Yes",""
"Q25018","No",""
"Q25019","No","C565"
"Q25020","No",""
"Q25021","Yes","D004-S"
"Q25022","No",""
"Q25022-1","No",""
"Q25022-2","No",""
"Q25022-3","No","C567"
"Q25023","No",""
"Q25023-1","No","C572"
"Q25024","No","C566"
"Q25025","No",""
"Q25025-1","Yes","D005"
"Q25026","Yes",""
"Q25026-1","Yes",""
"Q25026-2","Yes","D079"
"Q25027","No","C570"
"Q25028","No","C569"
"Q25029","No","C580"
"Q25030","No",""
"Q25030-1","No",""
"Q25031","Yes",""
"Q25031-1","Yes","D012-S"
"Q25032","No",""
"Q25033","No","C571"
"Q25034","No",""
"Q25034-1","Yes","D011-S"
"Q25035","No",""
"Q25035-1","No",""
"Q25035-2","No","C574"
"Q25036","No",""
"Q25038","No","C573"
"Q25039","No",""
"Q25039-1","No","C589"
"Q25040","No","C576"
"Q25041","No","C578"
"Q25042","Yes",""
"Q25043","No",""
"Q25043-1","No",""
"Q25043-2","No","C581"
"Q25044","No",""
"Q25044-1","No","C579"
"Q25045","Yes",""
"Q25046","No",""
"Q25046-1","No",""
"Q25046-2","No",""
"Q25046-3","Yes",""
"Q25047","No","C577"
"Q25048","No","C592"
"Q25049","No",""
"Q25050","Yes",""
"Q25051","No",""
"Q25051-1","No","C586"
"Q25052","Yes",""
"Q25053","No","C582"
"Q25054","No","C582"
"Q25055","No","C584"
"Q25056","Yes","D008-S"
"Q25057","No","C585"
"Q25058","Yes",""
"Q25059","No",""
"Q25060","Yes",""
"Q25061","No","C590"
"Q25062","No","C591"
"Q25063","Yes",""
"Q25064","Yes",""
"Q25064-1","Yes",""
"Q25065","Yes","D014"
"Q25066","Yes",""
"Q25068","No","C588"
"Q25069","Yes","D057-S"
"Q25070","No",""
"Q25070-1","Yes",""
"Q25071","Yes","C604-S"
"Q25072","Yes",""
"Q25074","No",""
"Q25076","No",""
"Q25076-1","Yes",""
"Q25078","No",""
"Q25078-1","Yes","C438-2"
"Q25079","Yes",""
"Q25080","No",""
"Q25080-1","No",""
"Q25080-2","No","C593S"
"Q25081","Yes",""
"Q25081-1","Yes",""
"Q25081-2","Yes","D031"
"Q25083","No","C595-S"
"Q25084","No",""
"Q25084-1","No","C594"
"Q25085","Yes",""
"Q25086","No","C596"
"Q25087","Yes","D003-S"
"Q25089","Yes",""
"Q25089-1","Yes","D029-S"
"Q25090","Yes",""
"Q25090-1","Yes",""
"Q25090-2","Yes",""
"Q25093","Yes","C608 (Deleted: 1767650070)"
"Q25094","Yes","C596 (Deleted: 1765577017)"
"Q25095","No","C589"
"Q25095-1","No","C589"
"Q25095-2","Yes","C589"
"Q25096","Yes","C583-1"
"Q25097","Yes",""
"Q25098","Yes","C599"
"Q25099","Yes","C598-S"
"Q25100","Yes",""
"Q25101","Yes",""
"Q25102","No","C597"
"Q25103","Yes","C607-S"
"Q25104","Yes","C600-S"
"Q25105","Yes",""
"Q25105-1","Yes","C608-S"
"Q25106","Yes",""
"Q25107","Yes","C601-S"
"Q25108","Yes","C602-S"
"Q25109","No",""
"Q25110","Yes",""
"Q25111","Yes",""
"Q25112","No","C567"
"Q25113","Yes","D076-S"
"Q25114","No","C495"
"Q25116","Yes","C605"
"Q25117","No","C495"
"Q25118","Yes","C441"
"Q25119","Yes","C606"
"Q25120","Yes","C610-S"
"Q25121","Yes",""
"Q25122","Yes","B302 UNIT#2"
"Q25125","No","C438-1"
"Q25126","Yes",""
"Q25127","Yes","C609-S"
"Q25128","Yes",""
"Q25130","Yes","D002"
"Q25131","Yes",""
"Q25132","Yes",""
"Q25134","Yes",""
"Q25136","Yes",""
"Q25138","No","B297#1"
"Q25139","Yes","D007-S"
"Q25140","Yes",""
"Q25141","Yes",""
"Q25142","Yes",""
"Q25144","Yes",""
"Q25145","Yes",""
"Q25146","Yes","D006"
"Q25148","Yes",""
"Q25148-1","Yes",""
"Q25149","No","D008"
"Q25150","No","C603"
"Q25151","Yes",""
"Q25153","Yes",""
"Q25154","Yes",""
"Q25154-1","Yes",""
"Q25154-2","Yes","D010-S"
"Q25155","Yes",""
"Q25156","Yes",""
"Q25157","Yes","D009-S"
"Q25158","Yes",""
"Q25159","Yes",""
"Q25160","Yes",""
"Q25161","Yes",""
"Q25162","Yes",""
"Q25163","Yes",""
"Q25163-1","Yes",""
"Q25163-2","Yes","D018-S"
"Q25164","Yes",""
"Q25165","No","C484"
"Q25166","Yes","D023-S"
"Q25167","Yes","D017-S"
"Q25168","Yes",""
"Q25168-1","Yes",""
"Q25169","Yes",""
"Q25170","Yes",""
"Q25172","Yes","D013-S"
"Q25173","No","B302-SPK-3"
"Q25174","Yes","D026"
"Q25175","Yes","D015"
"Q25176","Yes","D021-S"
"Q25177","Yes","D016-S"
